filename,title,year,document_type,primary_topics,policy_domain,geographic_scope,methodology,core_mechanisms,notes,compliance
family-structure-index-summary.pdf,Family Structure Index Summary,2025,Index summary / data brief,Family structure; marriage; child outcomes; social capital,Family demography; social indicators,United States (state-level comparisons),Index construction; composite indicators; descriptive statistics,Family stability; household composition; aggregate social effects,Core board- and donor-facing metric; avoid causal overclaims,
final-andersonstone-ifspaidfamilyleavepolicybrief.pdf,Paid Family Leave Policy Brief,2020,Policy brief,Paid family leave; work-family balance; parental support,Labor policy; family policy,United States,Policy analysis; comparative program review,Benefit design; labor-force attachment; family economic stability,Policy-oriented; pair with empirical outcomes when used externally,
final-ifs-eppc-protectingteensfrombigtech-aug2022.pdf,Protecting Teens from Big Tech: Five Policy Ideas for States,2022,Policy brief,Social media; adolescent mental health; digital safety,Technology policy; child protection,United States,Policy synthesis; applied research translation,Platform accountability; exposure reduction; design constraints,High public relevance; frame as child protection rather than moral panic,
final-ifs-protestantfamilyethicreport.pdf,The Protestant Family Ethic,2020,Research report,Religion; family norms; Protestant social ethics,Religion and public life; family culture,United States,Historical analysis; sociological synthesis,Moral formation; institutional reinforcement of family norms,Religious framing; contextualize carefully for pluralistic audiences,
final-ifs-two-parentfamilybrief-9-20-23-2.pdf,The Two-Parent Family Brief,2023,Research brief,Two-parent families; child outcomes; family stability,Family demography; child well-being,United States,Descriptive analysis; secondary data synthesis,Household stability; parental coordination,Core IFS framing document; interview-safe when presented descriptively,
final-ifsparentsreport-1.pdf,Parents and Family Life in America,2021,Research report,Parenting; family stress; child well-being,Family demography; social outcomes,United States,Quantitative analysis; survey data,Parental investment; household stability; time and resource constraints,Donor- and board-safe when framed descriptively,
final-ifsresearchbrief-ayers-evangelicalsandsex8819.pdf,Evangelicals and Sex,2019,Research brief,Evangelicals; sexuality; cultural attitudes,Religion and family culture,United States,Survey analysis; descriptive statistics,Norm formation; belief-behavior alignment,Sensitive topic; avoid generalization beyond surveyed populations,
final-ifstechmarriageresearchbrief.pdf,"Technology, Marriage, and Family Life",2023,Research brief,Technology use; marriage quality; relationship stability,Family sociology; technology and society,United States,Quantitative analysis; survey data,Time displacement; attention fragmentation; relational investment,Useful bridge between tech and family research,
final-teenquarantine2020.pdf,"Teens in Quarantine: Mental Health, Screen Time, and Family Connection",2020,Research report,Adolescents; mental health; screen time; family connection,Public health; family sociology,United States,Survey analysis; cross-sectional data,Social isolation; family buffering effects,Useful COVID-era reference; avoid overgeneralizing beyond pandemic context,
final2-ifs-single-americansbrief2020.pdf,Single Americans and Family Life,2020,Research brief,Single adults; marriage delay; family formation trends,Family demography; social trends,United States,Descriptive analysis; survey data,Marriage timing; economic and cultural constraints,Descriptive framing important to avoid normative interpretation,
for-better-four-proven-ways-to-a-strong-and-stable-marriage-4.pdf,For Better: Four Proven Ways to a Strong and Stable Marriage,2025,,,,,,,auto_seeded_plus,
futureforthefamiliesreport-feb2025.pdf,A Future for the Family: A New Technology Agenda,2025,,,,,,,auto_seeded_plus,
hope-and-a-future-spreads-1.pdf,Hope and a Future,2025,,,,,,,auto_seeded_plus,
ifs-congress-familypriorities-final.pdf,Five Pro-Family Priorities for the 118th Congress and Beyond,2023,,,,,,,auto_seeded_plus,
ifs-eppc-ageverificationpolicybrief.pdf,Age Verification: Policy Ideas for States,2023,,,,,,,auto_seeded_plus,
ifs-eppc-smartphonesappstoresbrief-nov23.pdf,Making Smartphones and App Stores Safer for Kids,2023,,,,,,,auto_seeded_plus,
ifs-eppc-sunbeltfamilypolicypriorities-final-1.pdf,Sunbelt Family Policy Priorities,2023,,,,,,,auto_seeded_plus,
ifs-gallup-marriagewellbeingbrief-feb9.pdf,Married People Are Living Their Best Lives,2024,,,,,,,auto_seeded_plus,
ifs-gallup-parentingsocialmediascreentime-october2023-1.pdf,How Parenting and Self-Control Mediate the Link Between Social Media Use and Youth Mental Health,2023,,,,,,,auto_seeded_plus,
ifs-globalcohabbrief-final-1.pdf,"Less Stable, Less Important: Cohabiting Families’ Comparative Disadvantage Across the Globe",2019,,,,,,,auto_seeded_plus,
ifs-homesforyoungfamiliesreportmarch2025 (1).pdf,Homes for Young Families,2025,,,,,,,auto_seeded_plus,
ifs-homesforyoungfamiliesreportmarch2025.pdf,Homes for Young Families,2025,,,,,,,auto_seeded_plus,
ifs-millennialsuccesssequence-final.pdf,The Millennial Success Sequence,2017,,,,,,,auto_seeded_plus,
ifs-paidleavereport-final.pdf,Paid Leave and Family Policy,2022,,,,,,,auto_seeded_plus,
ifs-policy-brief-whitehouseaiactionplan (1).pdf,Protecting the Family in the Age of Artificial Intelligence,2025,,,,,,,auto_seeded_plus,
ifs-policy-brief-whitehouseaiactionplan.pdf,Protecting the Family in the Age of Artificial Intelligence,2025,,,,,,,auto_seeded_plus,
ifs-southerneuropereport-final-1.pdf,Is There Hope for Low Fertility?,2024,,,,,,,auto_seeded_plus,
ifs-stateofcontradiction-final-1.pdf,"State of Contradiction: Progressive Family Culture, Traditional Family Structure in California",2020,,,,,,,auto_seeded_plus,
ifs-strongerfamilies-final-1-1.pdf,"Stronger Families, Stronger Communities",2023,,,,,,,auto_seeded_plus,
ifs-theartificialpoliticsofai-researchbrief2-january2026.pdf,The Artificial Politics of Artificial Intelligence,2026,,,,,,,auto_seeded_plus,
ifs-wang-fatherstimebrief-oct2023-1.pdf,Fathers’ Time and Family Life,2023,,,,,,,auto_seeded_plus,
ifs-womenwork-nov2025-final2.pdf,"Women, Work, and Family Life",2025,,,,,,,auto_seeded_plus,
ifs-workingclassreport-final-1-1.pdf,Working-Class Americans’ Views on Family Policy,2021,,,,,,,auto_seeded_plus,
ifs-workismreport-final-031721.pdf,Workism and Family Life,2021,,,,,,,auto_seeded_plus,
ifsaei-blackmenmakingit-2018.pdf,Black Men Making It in America,2024,,,,,,,auto_seeded_plus,
ifsbrief-ai-relationships-november2024-1.pdf,Artificial Intelligence and Relationships,2024,,,,,,,auto_seeded_plus,
ifsbrief-eliminatemarriagepenalities-may2025.pdf,Eliminating Marriage Penalties in the Tax Code and Safety-Net Programs,2025,,,,,,,auto_seeded_plus,
ifsbrief-expand-the-child-tax-credit-2.pdf,Expand the Child Tax Credit: Why Pronatal Policy Works,2025,,,,,,,auto_seeded_plus,
ifsbrief-iceland-marriedhouseholds-may2025.pdf,Why Married-Couple Households Experience Fewer Hardships,2025,,,,,,,auto_seeded_plus,
ifsbrief-republican-marriage-advantage-oct24.pdf,The Republican Marriage Advantage,2024,,,,,,,auto_seeded_plus,
ifsbrief-zill-gradeinfationfamilystructure.pdf,"Despite Grade Inflation, Family Structure Still Matters",2025,,,,,,,auto_seeded_plus,
ifscofjacksonvillereportfinal (1).pdf,Jacksonville Community of Faith Report,2019,,,,,,,auto_seeded_plus,
ifscofjacksonvillereportfinal.pdf,Jacksonville Community of Faith Report,2019,,,,,,,auto_seeded_plus,
ifseppc-tennesseebrief-2.pdf,Tennessee Family Policy Brief,2023,,,,,,,auto_seeded_plus,
ifsfathersdaybrief-june2024.pdf,Fathers’ Day Brief,2024,,,,,,,auto_seeded_plus,
ifshousingfactsheet2.pdf,Housing Factsheet,2025,,,,,,,auto_seeded_plus,
ifshousingfactsheet3.pdf,Housing Factsheet,2025,,,,,,,auto_seeded_plus,
ifshousingfactsheet5.pdf,Housing Factsheet,2025,,,,,,,auto_seeded_plus,
ifsmarriageandfertilityresearchbrief-wang-april2022-final.pdf,Marriage and Fertility Research Brief,2022,,,,,,,auto_seeded_plus,
ifsmemohousingfactsheet1.pdf,Housing Factsheet Memo,2025,,,,,,,auto_seeded_plus,
ifsmemohousingfactsheet4.pdf,Housing Factsheet Memo,2025,,,,,,,auto_seeded_plus,
ifsreport-workingclassmen-april2025.pdf,Working-Class Men and Family Life,2025,,,,,,,auto_seeded_plus,
ifsresearchbrief-clayroutledgefindingmeaning (1).pdf,Finding Meaning in Life,2018,,,,,,,auto_seeded_plus,
ifsresearchbrief-clayroutledgefindingmeaning.pdf,Finding Meaning in Life,2018,,,,,,,auto_seeded_plus,
ifsresearchbrief-religiousmarriageparadox2.pdf,The Religious Marriage Paradox,2021,,,,,,,auto_seeded_plus,
ifsstrongfamiliesbetterstudentsresearchbrief-aug2022.pdf,"Stronger Families, Better Students",2022,,,,,,,auto_seeded_plus,
in-pursuit-marriage-motherhood-and-womens-well-being-07-aug-25-2-1.pdf,"In Pursuit of Marriage, Motherhood, and Women’s Well-Being",2025,,,,,,,auto_seeded_plus,
lymanstonefertilityhousingbrief-june.pdf,"Fertility, Housing, and Family Formation",2024,,,,,,,auto_seeded_plus,
marriagestillmatters-final.pdf,Marriage Still Matters: Demonstrating the Link Between Marriage and Fertility in the 21st Century,2022,,,,,,,auto_seeded_plus,
men-and-marriage-research-brief-1.pdf,Men and Marriage: Debunking the “Ball and Chain” Myth,2017,,,,,,,auto_seeded_plus,
obbbfamilypolicyfixesbrief-final-august2025.pdf,Beyond OBBB: Three Fixes for American Families,2025,,,,,,,auto_seeded_plus,
successsequencedisadvantagedya-final.pdf,The Power of the Success Sequence for Disadvantaged Young Adults,2022,,,,,,,auto_seeded_plus,
successsequencementalhealth-final-1.pdf,The Success Sequence and Millennial Mental Health,2024,,,,,,,auto_seeded_plus,
teensandtech-final-1.pdf,Teens and Tech: What Difference Does Family Structure Make?,2022,,,,,,,auto_seeded_plus,
texaspolicyreport2024.pdf,For the Sake of the Kids: Strengthening Families in the Lone Star State,2024,,,,,,,auto_seeded_plus,
utah-family-miracle.pdf,Unprotected: Sexual Risk and Family Instability,2023,,,,,,,auto_seeded_plus,
wfm-2017-fullreport.pdf,World Family Map 2017: The Cohabitation-Go-Round,2017,,,,,,,auto_seeded_plus,
wheatleyifs-unprotectedreport-jan2024.pdf,World Family Map 2019: The Ties That Bind,2025,,,,,,,auto_seeded_plus,
worldfamilymap-2019-051819final.pdf,"Single Parenting, Child Poverty, and Violent Crime",2019,,,,,,,auto_seeded_plus,
zill-ohio-cities-crime-poverty-brief.pdf,Families Matter to Kids’ Mental Health,2024,,,,,,,auto_seeded_plus,
zill-researchbrief-singleparentscollege.pdf,Family Structure and College Completion,2020,,,,,,,auto_seeded_plus,
zillmentalhealthbrief.pdf,Family Structure and College Completion in the United States,2024,,,,,,,auto_seeded_plus,
